setId,setName,setTotal,releaseOrder,description,setType
29TH-5GEN,絶望の一秒前,5,220401,,V
29TH-UNDER,届かなくたって…,3,220501,,S
10BD-TW,10th Birthday Live(白),3,220502,,S
10BD-TP,10th Birthday Live(紫),3,220503,,S
29TH,Actually…,3,220504,,S
22-MAY-II,2022.May-II,3,220505,フェイクファー,S
22-MAY-III,2022.May-III,3,220506,フロントボタントップス,S
22-MAY-IV,2022.May-IV,3,220507,チョーカーデザイン,S
22-JUN-I,2022.June,3,220601,夏パジャマ,S
22-JUN-II,2022.June-II,3,220602,ノースリーブニット,S
22-JUN-III,2022.June-III,3,220603,麦わら帽子,S
5GEN,5期生お見立て会,3,220604,,S
22-JUN-IV,2022.June-IV,4,220605,10thBDライブ衣装,C
22-JUL-I,2022.July,3,220701,真夏の全国ツアー2022 Tシャツ 共通ver.,S
22-OSAKA,真夏の全国ツアー2022 大阪ver.,3,220702,,S
22-JUL-II,2022.July-II,5,220703,浴衣,K
22-JUL-III,2022.July-III,3,220704,刺繍,S
22-HIROSHIMA,真夏の全国ツアー2022 広島ver.,3,220705,,S
22-JUL-IV,2022.July-IV,3,220706,アウトドア,S
22-FUKUOKA,真夏の全国ツアー2022 福岡ver.,3,220707,,S
22-JUL-V,2022.July-V,3,220708,メッシュニット,S
22-HOKKAIDO,真夏の全国ツアー2022 北海道ver.,3,220801,,S
22-MIYAGI,真夏の全国ツアー2022 宮城ver.,3,220802,,S
22-AUG-I,2022.August,3,220803,サマーベスト,S
22-AICHI,真夏の全国ツアー2022 愛知ver.,3,220804,,S
22-AUG-II,2022.August-II,3,220805,ビビットトップス,S
22-AUG-III,2022.August-III,3,220806,アシメフリル,S
22-TOKYO,真夏の全国ツアー2022 東京ver.,3,220807,,S
22-SPECIAL,真夏の全国ツアー2022 Special,3,220808,,S
22-AUG-IV,2022.August-IV,3,220809,ストライプ,S
22-SEP-I,2022.September,3,220901,マリンルック,S
22-SEP-II,2022.September-II,3,220902,オフィスカジュアル,S
30TH-5GEN,バンドエイドを剝がすような別れ方,5,220903,,V
30TH,好きというのはロックだぜ,3,221001,,S
22-HALLO,2022.Halloween,5,221002,,V
22-OCT-I,2022.October,3,221003,ウィンドウペンチェック,S
22-OCT-II,2022.October-II,3,221004,ポップ,S
GRAD-HIGUCHI,樋口日奈卒業セレモニー,3,221005,,S
30TH-UNDER,Under's Love…,3,221101,,S
22-NOV-I,2022.November,4,221102,真夏の全国ツアー2022衣装,C
22-DEC-I,2022.December,3,221201,スペシャル衣装35,S
22-DEC-II,2022.December-II,3,221202,ゴルフウェア,S
22-DEC-III,2022.December-III,3,221203,ハーフジップ,S
22-XMAS,2022.Christmas,5,221204,,V
22-DEC-IV,2022.December-IV,3,221205,ジャガード,S
22-DEC-V,2022.December-V,3,221206,ケーブルニット,S
23-LUCKY-I,2023.Lucky Bag(パ),3,230101,パステル,S
23-LUCKY-II,2023.Lucky Bag(カ),3,230102,カレンダー衣装,S
23-NEW,Happy New Year! 2023,3,230103,,S
23-JAN-I,2023.January,3,230104,リブチェンジワンピース,S
23-JAN-II,2023.January-II,3,230105,マルチカラーニット,S
31ST-5GEN,17分間,5,230106,,V
31ST,ここにはないもの,3,230107,,S
23-FEB-I,2023.February,3,230201,31st制服,S
23-VALEN,2023.Valentine,5,230202,,V
11BD-ANNV,11th Anniversary,5,230203,,K
11BD-T,11th Birthday Live,3,230204,,S
23-FEB-II,2023.February-II,3,230205,スタジャン,S
11BD-5GEN,11th Birthday Live -5th Members Live-,3,230206,,S
